timestamp,acc_x,acc_y,acc_z
6540,10.20888,-0.179565,0.268151
6560,10.22085,-0.260968,0.241814
6580,10.23761,-0.201113,0.258574
6600,10.21366,-0.217872,0.203507
6620,10.23282,-0.205901,0.270545
6640,10.23521,-0.225055,0.241814
6660,10.23521,-0.174777,0.272939
6680,10.22564,-0.229843,0.225055
6700,10.24479,-0.213084,0.263362
6720,10.24239,-0.203507,0.201113
6740,10.24,-0.21069,0.265756
6760,10.22085,-0.244209,0.237026
6780,10.21127,-0.196325,0.234632
6800,10.20888,-0.201113,0.241814
6820,10.22803,-0.23942,0.263362
6840,10.24,-0.208296,0.263362
6860,10.23282,-0.222661,0.232238
6880,10.23761,-0.21069,0.287304
6900,10.25197,-0.275333,0.237026
6920,10.19451,-0.19393,0.265756
6940,10.21606,-0.248997,0.248997
6960,10.23282,-0.205901,0.268151
6980,10.20169,-0.225055,0.215478
7000,10.21845,-0.191536,0.277727
7020,10.21845,-0.215478,0.244209
7040,10.22085,-0.213084,0.272939
7060,10.22324,-0.251391,0.248997
7080,10.23521,-0.162806,0.265756
7100,10.21606,-0.244209,0.225055
7120,10.25915,-0.220267,0.270545
7140,10.21845,-0.213084,0.237026
7160,10.21366,-0.198719,0.263362
7180,10.24,-0.23942,0.222661
7200,10.23042,-0.205901,0.25618
7220,10.21845,-0.205901,0.260968
7240,10.22085,-0.215478,0.263362
7260,10.24,-0.213084,0.265756
7280,10.21366,-0.172383,0.251391
7300,10.22085,-0.201113,0.258574
7320,10.23761,-0.23942,0.258574
7340,10.24,-0.181959,0.260968
7360,10.22085,-0.248997,0.248997
7380,10.24479,-0.229843,0.25618
7400,10.22564,-0.220267,0.215478
7420,10.21845,-0.158017,0.277727
7440,10.25437,-0.258574,0.237026
7460,10.25437,-0.179565,0.277727
7480,10.23761,-0.227449,0.23942
7500,10.24958,-0.225055,0.268151
7520,10.22803,-0.237026,0.232238
7540,10.20888,-0.191536,0.280122
7560,10.23761,-0.232238,0.241814
7580,10.22564,-0.217872,0.287304
7600,10.21127,-0.198719,0.241814
7620,10.22564,-0.217872,0.258574
7640,10.22564,-0.215478,0.23942
7660,10.20888,-0.189142,0.272939
7680,10.21366,-0.21069,0.272939
7700,10.24718,-0.258574,0.258574
7720,10.21845,-0.184354,0.258574
7740,10.24479,-0.23942,0.229843
7760,10.22564,-0.23942,0.258574
7780,10.22564,-0.220267,0.222661
7800,10.20648,-0.208296,0.272939
7820,10.22803,-0.258574,0.21069
7840,10.22564,-0.167594,0.275333
7860,10.20888,-0.198719,0.246603
7880,10.24479,-0.201113,0.265756
7900,10.24239,-0.234632,0.222661
7920,10.22085,-0.184354,0.280122
7940,10.22564,-0.23942,0.268151
7960,10.24239,-0.232238,0.280122
7980,10.19691,-0.19393,0.234632
8000,10.21845,-0.220267,0.268151
8020,10.24,-0.234632,0.258574
8040,10.25915,-0.246603,0.287304
8060,10.24958,-0.215478,0.229843
8080,10.23761,-0.201113,0.289698
8100,10.24239,-0.263362,0.225055
8120,10.21127,-0.160412,0.241814
8140,10.1993,-0.227449,0.234632
8160,10.24239,-0.201113,0.258574
8180,10.23282,-0.225055,0.229843
8200,10.20409,-0.179565,0.28491
8220,10.24479,-0.237026,0.201113
8240,10.23761,-0.196325,0.260968
